committee_name,support_oppose_indicator,candidate_name,candidate_party,expenditure_amount,expenditure_description,expenditure_date,report_year
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,3628.0,DIGITAL AD PRODUCTION,2020-07-17 00:00:00,2020
LCV VICTORY FUND,S,"BIDEN, JOSEPH R JR",DEM,22.79,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-10-22 00:00:00,2020
LCV VICTORY FUND,O,"COLLINS, SUSAN M",REP,87702.49,MAILER & POSTAGE,2020-09-16 00:00:00,2020
LCV VICTORY FUND,S,"BIDEN, JOSEPH R JR",DEM,22.79,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-10-06 00:00:00,2020
LCV VICTORY FUND,O,"ERNST, JONI K",REP,516372.78,MAILER & POSTAGE,2020-10-06 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,200.0,CONSULTING - ONLINE MESSAGING,2020-09-25 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,34.18,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-04-10 00:00:00,2020
LCV VICTORY FUND,O,"RICHTER, DAVID",REP,15.19,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-09-08 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,30853.53,MAILER & POSTAGE,2020-10-02 00:00:00,2020
LCV VICTORY FUND,S,"BIDEN, JOSEPH R JR",DEM,136.71,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-07-31 00:00:00,2020
LCV VICTORY FUND,O,"HUDSON, RICHARD L. JR.",REP,36.86,STAFF TIME AND EMAILS FOR ONLINE MESSAGE (VIA DRAWDOWN),2020-10-27 00:00:00,2020
LCV VICTORY FUND,O,"RICHTER, DAVID",REP,682.5,RESEARCH SERVICES,2020-09-08 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,98000.0,DIGITAL AD PRODUCTION,2020-10-08 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,103.63,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-05-18 00:00:00,2020
LCV VICTORY FUND,S,"GREENFIELD, THERESA",DEM,61060.23,MAILER & POSTAGE,2020-10-14 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,629.34,STAFF TIME AND TEXTS FOR MOBILE ALERT (VIA DRAWDOWN),2020-10-14 00:00:00,2020
LCV VICTORY FUND,O,"GARBARINO, ANDREW",REP,3200.0,INKIND: POLLING,2020-10-16 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,47158.97,DIGITAL AD PRODUCTION,2020-06-23 00:00:00,2020
LCV VICTORY FUND,S,"GIDEON, SARA",DEM,4974.73,TELEPHONE SERVICES,2020-10-06 00:00:00,2020
LCV VICTORY FUND,O,"JUNGE, PAUL",REP,5917.94,TV AD PRODUCTION,2020-09-22 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,250.0,DIGITAL AD PRODUCTION & BUY,2020-10-23 00:00:00,2020
LCV VICTORY FUND,O,"COLLINS, SUSAN M",REP,266.67,CONSULTING - ONLINE MESSAGING,2020-08-31 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,150947.55,MAILER & POSTAGE,2020-07-17 00:00:00,2020
LCV VICTORY FUND,O,"ERNST, JONI K",REP,75.95,STAFF TIME AND EMAILS FOR ONLINE MESSAGE (VIA DRAWDOWN),2020-08-31 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,1373.0,DIGITAL AD PRODUCTION,2020-05-13 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,5130.7,DIGITAL AD PRODUCTION,2020-06-15 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,11058.0,DIGITAL AD PRODUCTION,2020-10-13 00:00:00,2020
LCV VICTORY FUND,S,"GORDON, JACQUELINE",DEM,9.11,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-10-14 00:00:00,2020
LCV VICTORY FUND,S,"WARNOCK, RAPHAEL",DEM,149.99,STAFF TIME AND EMAILS FOR ONLINE MESSAGE (VIA DRAWDOWN),2020-12-07 00:00:00,2020
LCV VICTORY FUND,S,"MUCARSEL-POWELL, DEBBIE",DEM,9.11,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-10-14 00:00:00,2020
LCV VICTORY FUND,S,"KELLY, MARK",DEM,196281.5,FIELD CANVASS CONSULTING,2020-09-15 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,18500.0,SURVEY RESEARCH,2020-10-06 00:00:00,2020
LCV VICTORY FUND,O,"DAINES, STEVE",REP,986115.0,TV AD BUY,2020-08-12 00:00:00,2020
LCV VICTORY FUND,O,"JUNGE, PAUL",REP,507.81,RESEARCH SERVICES,2020-09-03 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,50000.0,DIGITAL AD PRODUCTION & BUY,2020-10-13 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,7348.0,DIGITAL AD PRODUCTION,2020-06-12 00:00:00,2020
LCV VICTORY FUND,S,"TIMMONS-GOODSON, PATRICIA",DEM,9.11,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-10-14 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,145830.05,MAILER & POSTAGE,2020-05-27 00:00:00,2020
LCV VICTORY FUND,O,"SULLIVAN, DAN",REP,304.83,STAFF TIME AND EMAILS FOR ONLINE MESSAGE (VIA DRAWDOWN),2020-10-20 00:00:00,2020
LCV VICTORY FUND,O,"RICHTER, DAVID",REP,43220.0,DIGITAL AD BUY,2020-10-22 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,15916.33,DIGITAL AD PRODUCTION,2020-07-16 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,800.0,CONSULTING - ONLINE MESSAGING,2020-09-15 00:00:00,2020
LCV VICTORY FUND,S,"GROSS, AL DR.",IND,50000.0,DIGITAL AD PRODUCTION & BUY,2020-10-20 00:00:00,2020
LCV VICTORY FUND,O,"GONZALES, ERNEST ANTHONY TONY",REP,180.55,RESEARCH SERVICES,2020-10-14 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,181137.06,MAILER & POSTAGE,2020-06-23 00:00:00,2020
LCV VICTORY FUND,S,"HARRISON, JAIME",DEM,11596.59,TELEPHONE SERVICES,2020-10-14 00:00:00,2020
LCV VICTORY FUND,S,"BIDEN, JOSEPH R JR",DEM,375000.0,DIGITAL AD BUY,2020-10-13 00:00:00,2020
LCV VICTORY FUND,O,"VAN DUYNE, ELIZABETH ANN",REP,500000.0,TV AD BUY,2020-10-08 00:00:00,2020
LCV VICTORY FUND,O,"COLLINS, SUSAN M",REP,800.0,CONSULTING - ONLINE MESSAGING,2020-10-09 00:00:00,2020
LCV VICTORY FUND,O,"SULLIVAN, DAN",REP,319.89,STAFF TIME AND EMAILS FOR ONLINE MESSAGE (VIA DRAWDOWN),2020-10-18 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,33.96,STAFF TIME AND RESOURCES FOR PRESS RELEASE (VIA DRAWDOWN),2020-02-20 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,1933.0,DIGITAL AD PRODUCTION,2020-05-15 00:00:00,2020
LCV VICTORY FUND,S,"GREENFIELD, THERESA",DEM,121508.0,FIELD CANVASS CONSULTING,2020-09-15 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,79906.6,MAILER & POSTAGE,2020-07-02 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,10244.23,DIGITAL AD PRODUCTION,2020-06-22 00:00:00,2020
LCV VICTORY FUND,O,"ERNST, JONI K",REP,82.02,STAFF TIME AND EMAILS FOR ONLINE MESSAGE (VIA DRAWDOWN),2020-09-27 00:00:00,2020
LCV VICTORY FUND,S,"CUNNINGHAM, JOE",DEM,22.79,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-10-12 00:00:00,2020
LCV VICTORY FUND,O,"TILLIS, THOM R",REP,45.35,STAFF TIME AND EMAILS FOR ONLINE MESSAGE (VIA DRAWDOWN),2020-08-10 00:00:00,2020
LCV VICTORY FUND,O,"GARBARINO, ANDREW",REP,46189.48,MAILER & POSTAGE,2020-10-21 00:00:00,2020
LCV VICTORY FUND,O,"GIMENEZ, CARLOS",REP,17250.0,INKIND: POLLING,2020-10-13 00:00:00,2020
LCV VICTORY FUND,O,"GIMENEZ, CARLOS",REP,4800.0,TV AD PRODUCTION,2020-10-16 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,91.14,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-06-26 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,3500.0,DIGITAL AD PRODUCTION,2020-05-18 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,9900.2,DIGITAL AD PRODUCTION,2020-08-04 00:00:00,2020
LCV VICTORY FUND,O,"ERNST, JONI K",REP,301.28,STAFF TIME AND EMAILS FOR ONLINE MESSAGE (VIA DRAWDOWN),2020-10-28 00:00:00,2020
LCV VICTORY FUND,O,"TILLIS, THOM R",REP,1895.83,RESEARCH SERVICES,2020-10-15 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,220.64,STAFF TIME AND EMAILS FOR ONLINE MESSAGE (VIA DRAWDOWN),2020-09-30 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,22.79,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-10-19 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,6700.0,DIGITAL AD PRODUCTION & BUY (ESTIMATE),2020-08-04 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,800.0,CONSULTING - ONLINE MESSAGING,2020-08-14 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,181137.06,MAILER & POSTAGE,2020-07-13 00:00:00,2020
LCV VICTORY FUND,S,"GREENFIELD, THERESA",DEM,25775.8,TELEPHONE SERVICES,2020-10-19 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,13705.07,DIGITAL AD PRODUCTION,2020-07-23 00:00:00,2020
LCV VICTORY FUND,O,"RICHTER, DAVID",REP,361.11,RESEARCH SERVICES,2020-10-19 00:00:00,2020
LCV VICTORY FUND,O,"TILLIS, THOM R",REP,650.0,RESEARCH SERVICES,2020-09-03 00:00:00,2020
LCV VICTORY FUND,S,"BIDEN, JOSEPH R JR",DEM,89478.13,TELEPHONE SERVICES,2020-09-22 00:00:00,2020
LCV VICTORY FUND,S,"BIDEN, JOSEPH R JR",DEM,83373.0,FIELD CANVASS CONSULTING,2020-10-16 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,200.0,CONSULTING - ONLINE MESSAGING,2020-09-30 00:00:00,2020
LCV VICTORY FUND,S,"WARNOCK, RAPHAEL",DEM,68617.6,DIGITAL AD PRODUCTION & BUY,2020-12-18 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,45.57,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-09-14 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,4120.0,DIGITAL AD PRODUCTION,2020-06-15 00:00:00,2020
LCV VICTORY FUND,S,"BIDEN, JOSEPH R JR",DEM,79223.37,MAILER & POSTAGE,2020-10-07 00:00:00,2020
LCV VICTORY FUND,O,"MCSALLY, MARTHA",REP,14170.03,TV AD PRODUCTION,2020-07-07 00:00:00,2020
LCV VICTORY FUND,O,"TILLIS, THOM R",REP,100.0,CONSULTING - ONLINE MESSAGING,2020-09-29 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,210.9,STAFF TIME AND EMAILS FOR ONLINE MESSAGE (VIA DRAWDOWN),2020-09-28 00:00:00,2020
LCV VICTORY FUND,O,"BOEBERT, LAUREN",REP,361.11,RESEARCH SERVICES,2020-10-19 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,32340.53,DIGITAL AD PRODUCTION,2020-07-23 00:00:00,2020
LCV VICTORY FUND,S,"BIDEN, JOSEPH R JR",DEM,126639.84,MAILER & POSTAGE,2020-08-04 00:00:00,2020
LCV VICTORY FUND,S,"GREENFIELD, THERESA",DEM,812.5,RESEARCH SERVICES,2020-10-11 00:00:00,2020
LCV VICTORY FUND,O,"COLLINS, SUSAN M",REP,812.5,RESEARCH SERVICES,2020-10-19 00:00:00,2020
LCV VICTORY FUND,S,"CISNEROS, JESSICA",DEM,45.57,STAFF TIME AND RESOURCES FOR PRESS RELEASE (VIA DRAWDOWN),2020-02-28 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,210.9,STAFF TIME AND EMAILS FOR ONLINE MESSAGE (VIA DRAWDOWN),2020-09-18 00:00:00,2020
LCV VICTORY FUND,O,"HERRELL, STELLA YVETTE",REP,5457.12,TV AD PRODUCTION,2020-10-27 00:00:00,2020
LCV VICTORY FUND,S,"CUNNINGHAM, CAL",DEM,30000.0,DIGITAL AD PRODUCTION & BUY,2020-10-20 00:00:00,2020
LCV VICTORY FUND,O,"DAINES, STEVE",REP,1150013.0,TV AD BUY,2020-10-22 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,22019.47,DIGITAL AD PRODUCTION,2020-06-05 00:00:00,2020
LCV VICTORY FUND,S,"BULLOCK, STEVE",DEM,11756.25,TELEPHONE SERVICES,2020-09-22 00:00:00,2020
LCV VICTORY FUND,O,"HERRELL, STELLA YVETTE",REP,14447.59,TV AD PRODUCTION,2020-09-23 00:00:00,2020
LCV VICTORY FUND,S,"BULLOCK, STEVE",DEM,52131.0,DIGITAL AD PRODUCTION & BUY,2020-10-23 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,3177.0,DIGITAL AD PRODUCTION & BUY,2020-07-31 00:00:00,2020
LCV VICTORY FUND,S,"GIDEON, SARA",DEM,102814.0,FIELD CANVASS CONSULTING,2020-09-15 00:00:00,2020
LCV VICTORY FUND,O,"ERNST, JONI K",REP,1989548.0,TV AD BUY,2020-09-21 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,1827.45,DIGITAL AD PRODUCTION,2020-08-04 00:00:00,2020
LCV VICTORY FUND,O,"MACE, NANCY",REP,303875.0,TV AD BUY,2020-09-08 00:00:00,2020
LCV VICTORY FUND,O,"BOEBERT, LAUREN",REP,489940.0,TV AD BUY,2020-10-20 00:00:00,2020
LCV VICTORY FUND,S,"BULLOCK, STEVE",DEM,65000.0,FIELD CANVASS CONSULTING,2020-10-28 00:00:00,2020
LCV VICTORY FUND,O,"RICHTER, DAVID",REP,22164.0,DIGITAL AD BUY,2020-09-11 00:00:00,2020
LCV VICTORY FUND,S,"BIDEN, JOSEPH R JR",DEM,3139.0,DIGITAL AD PRODUCTION,2020-07-17 00:00:00,2020
LCV VICTORY FUND,O,"DAINES, STEVE",REP,45.35,STAFF TIME AND EMAILS FOR ONLINE MESSAGE (VIA DRAWDOWN),2020-08-10 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,200.0,CONSULTING - ONLINE MESSAGING,2020-10-02 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,879.75,STAFF TIME AND EMAILS FOR ONLINE MESSAGE (VIA DRAWDOWN),2020-05-19 00:00:00,2020
LCV VICTORY FUND,O,"GIMENEZ, CARLOS",REP,704990.0,TV AD BUY,2020-10-07 00:00:00,2020
LCV VICTORY FUND,S,"GREENFIELD, THERESA",DEM,112500.0,DIGITAL AD PRODUCTION & BUY,2020-10-19 00:00:00,2020
LCV VICTORY FUND,O,"JAMES, JOHN",REP,340852.0,RADIO AD BUY,2020-10-13 00:00:00,2020
LCV VICTORY FUND,S,"BULLOCK, STEVE",DEM,42793.05,MAILER & POSTAGE,2020-10-27 00:00:00,2020
LCV VICTORY FUND,S,"BIDEN, JOSEPH R JR",DEM,60089.0,DIGITAL AD PRODUCTION & BUY,2020-10-02 00:00:00,2020
LCV VICTORY FUND,S,"GIDEON, SARA",DEM,77111.0,FIELD CANVASS CONSULTING,2020-10-06 00:00:00,2020
LCV VICTORY FUND,O,"FREITAS, NICK J",REP,281435.0,TV AD BUY,2020-09-22 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,35123.25,DIGITAL AD PRODUCTION,2020-05-15 00:00:00,2020
LCV VICTORY FUND,O,"DAINES, STEVE",REP,36.41,STAFF TIME AND EMAILS FOR ONLINE MESSAGE (VIA DRAWDOWN),2020-10-27 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,1546.41,STAFF TIME AND EMAILS FOR ONLINE MESSAGES (VIA DRAWDOWN),2020-05-18 00:00:00,2020
LCV VICTORY FUND,O,"RICHTER, DAVID",REP,43220.0,DIGITAL AD BUY,2020-10-15 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,1354.17,RESEARCH SERVICES,2020-05-15 00:00:00,2020
LCV VICTORY FUND,S,"BIDEN, JOSEPH R JR",DEM,86500.0,DIGITAL AD PRODUCTION & BUY,2020-10-13 00:00:00,2020
LCV VICTORY FUND,O,"GIMENEZ, CARLOS",REP,10950.0,INKIND: POLLING,2020-10-12 00:00:00,2020
LCV VICTORY FUND,O,"MACE, NANCY",REP,15.19,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-09-08 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,67.56,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-08-27 00:00:00,2020
LCV VICTORY FUND,O,"RICHTER, DAVID",REP,43220.0,DIGITAL AD BUY,2020-10-08 00:00:00,2020
LCV VICTORY FUND,S,"GIDEON, SARA",DEM,50000.0,DIGITAL AD PRODUCTION & BUY,2020-10-21 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,227552.21,MAILER & POSTAGE,2020-05-27 00:00:00,2020
LCV VICTORY FUND,O,"GARBARINO, ANDREW",REP,43418.89,MAILER & POSTAGE,2020-10-16 00:00:00,2020
LCV VICTORY FUND,O,"DAINES, STEVE",REP,600.0,CONSULTING - ONLINE MESSAGING,2020-10-23 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,3250.0,RESEARCH SERVICES,2020-10-08 00:00:00,2020
LCV VICTORY FUND,O,"JUNGE, PAUL",REP,14800.0,INKIND: POLLING,2020-09-22 00:00:00,2020
LCV VICTORY FUND,S,"BIDEN, JOSEPH R JR",DEM,5000.0,DIGITAL AD BUY,2020-10-20 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,46000.0,SURVEY RESEARCH,2020-05-01 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,66.26,STAFF TIME AND TEXTS FOR MOBILE ALERT (VIA DRAWDOWN),2020-05-18 00:00:00,2020
LCV VICTORY FUND,S,"BIDEN, JOSEPH R JR",DEM,37782.24,TELEPHONE SERVICES,2020-10-19 00:00:00,2020
LCV VICTORY FUND,S,"GREENFIELD, THERESA",DEM,8490.63,TELEPHONE SERVICES,2020-09-22 00:00:00,2020
LCV VICTORY FUND,O,"ERNST, JONI K",REP,600.0,CONSULTING - ONLINE MESSAGING,2020-10-28 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,687.0,DIGITAL AD PRODUCTION,2020-05-13 00:00:00,2020
LCV VICTORY FUND,S,"GREENFIELD, THERESA",DEM,112000.0,DIGITAL AD PRODUCTION & BUY,2020-10-23 00:00:00,2020
LCV VICTORY FUND,O,"TRUMP, DONALD J",REP,34000.0,DATA ANALYTICS SERVICES,2020-05-12 00:00:00,2020
LCV VICTORY FUND,O,"DAINES, STEVE",REP,1787.5,RESEARCH SERVICES,2020-08-13 00:00:00,2020
LCV VICTORY FUND,S,"GREENFIELD, THERESA",DEM,812.5,RESEARCH SERVICES,2020-10-19 00:00:00,2020
LCV VICTORY FUND,S,"GREENFIELD, THERESA",DEM,50000.0,DIGITAL AD PRODUCTION & BUY,2020-10-13 00:00:00,2020
